nohup: ignoring input
2025-07-04 07:44:27,326 INFO     Starting server at tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,326 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2025-07-04 07:44:27,326 INFO     Configuring endpoint tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,327 INFO     Listening on TCP address 127.0.0.1:8000
127.0.0.1:60114 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60076 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60098 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60130 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60138 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60116 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60170 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60224 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60178 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60200 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60152 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60208 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60236 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60156 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60222 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60228 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60212 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60190 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60240 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60272 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60248 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60256 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60258 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60286 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60302 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60318 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60278 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60320 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60322 - - [04/Jul/2025:07:45:08] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60338 - - [04/Jul/2025:07:45:08] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60346 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60352 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-bingo-card/?cardId=25" 200 130
127.0.0.1:60360 - - [04/Jul/2025:07:45:08] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60372 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60368 - - [04/Jul/2025:07:45:08] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60388 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60384 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60404 - - [04/Jul/2025:07:45:08] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60410 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60400 - - [04/Jul/2025:07:45:08] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60438 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60390 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60442 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60426 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60434 - - [04/Jul/2025:07:45:08] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60456 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60460 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60464 - - [04/Jul/2025:07:45:08] "GET /api/bingo/api/get-bingo-card/?cardId=76" 200 131
127.0.0.1:60468 - - [04/Jul/2025:07:45:10] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:53904 - - [04/Jul/2025:07:45:16] "GET /api/bingo/api/get-game-stats/484/" 200 183
127.0.0.1:53918 - - [04/Jul/2025:07:45:17] "WSCONNECTING /ws/game-socket/484/" - -
